Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],P [d],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,Filter,Dispersion,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY]
NGTS-10 b,2.1620,687.0200,1.2050,13.5075,0.0140,,1332,K5,4600,-0.757,0.6970,3.1538,4.4098,0.6960,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,1,12,2158,Phase Curve,03/11/23
TOI-260 b,,,0.1499,1.6802,,,455,M0,4049,-1.034,0.6182,0.062,,0.6300,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,11/16/23;  11/30/23
TOI-421 b,0.0511,16.2400,0.1718,1.9258,0.1180,,981,G9,5325,-0.273,0.8710,0.0411,29.1686,0.8520,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1935,Transit,11/06/23
TOI-421 b,0.0511,16.2400,0.1718,1.9258,0.1180,,981,G9,5325,-0.273,0.8710,0.0411,29.1686,0.8520,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,1935,Transit,09/10/23
TOI-776 b,0.0130,4.1300,0.1650,1.8496,0.0650,,514,M1,3709,-1.300,0.5380,0.0992,26.0484,0.5440,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,05/11/23;  05/27/23
TOI-776 c,0.0170,5.4000,0.1800,2.0177,0.1000,,415,M1,3709,-1.300,0.5380,0.1181,39.9516,0.5440,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,06/09/23;  05/06/23
TOI-836 b,0.0143,4.5400,0.1520,1.7040,0.0420,,871,K7,4552,-0.853,0.6650,0.0551,13.6398,0.6600,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,0,2512,Transit,02/16/23
TOI-836 c,0.0302,9.6000,0.2308,2.5870,0.0750,,665,K7,4552,-0.853,0.6650,0.1271,24.2413,0.6600,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,03/04/23;  03/08/23
LHS 475 b,0.0031,0.9800,0.0884,0.9910,0.0210,,552,M3.5,3312,-2.048,0.2875,0.0998,15.8720,0.5498,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,3,0,1981,Transit,08/31/22;  09/04/22;  09/27/22
TOI-178 b,0.0047,1.5000,0.1028,1.1523,0.0260,,1040,K?,4316,-0.879,0.6510,0.0263,8.6075,0.6500,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2319,Transit,07/13/23
TOI-178 d,0.0095,3.0100,0.2295,2.5726,0.0590,,690,K?,4316,-0.879,0.6510,0.1311,19.5460,0.6500,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2319,Transit,08/07/23
TOI-178 g,0.0124,3.9400,0.2560,2.8696,0.1280,,470,K?,4316,-0.879,0.6510,0.1632,42.0964,0.6500,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2319,Transit,11/11/23
TOI-741.01,0.0695,22.1000,,,0.0290,,,M0,3767,,0.5300,0,11.8014,0.4700,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,3,0,1981,Transit,03/02/23;  03/10/23;  03/17/23
TRAPPIST-1 b,0.0027,0.8600,0.1000,1.1210,0.0110,,397,M7.5,2566,-3.260,0.1192,0.7426,20.0153,0.0898,MIRI / Imaging,F1500W,-,15,5,12,1177,Eclipse,11/08/22;  11/12/22;  11/20/22;  11/24/22;  12/03/22
TRAPPIST-1 b,0.0027,0.8600,0.1000,1.1210,0.0110,,397,M7.5,2566,-3.260,0.1192,0.7426,20.0153,0.0898,MIRI / Imaging,F1280W,-,12.8,5,12,1279,Eclipse,11/21/22;  10/27/23;  10/26/23;  10/29/23;  10/30/23
TRAPPIST-1 b,0.0027,0.8600,0.1000,1.1210,0.0110,,397,M7.5,2566,-3.260,0.1192,0.7426,20.0153,0.0898,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,2,0,2589,Transit,07/18/22;  07/20/22
TRAPPIST-1 c,0.0043,1.3700,0.0942,1.0559,0.0150,,339,M7.5,2566,-3.260,0.1192,0.659,27.4084,0.0898,MIRI / Imaging,F1500W,-,15,4,12,2304,Eclipse,10/27/22;  10/30/22;  11/06/22;  11/30/22
TRAPPIST-1 c,0.0043,1.3700,0.0942,1.0559,0.0150,,339,M7.5,2566,-3.260,0.1192,0.659,27.4084,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,4,0,2420,Transit,07/11/22;  11/03/23;  10/29/23;  11/08/23
TRAPPIST-1 c,0.0043,1.3700,0.0942,1.0559,0.0150,,339,M7.5,2566,-3.260,0.1192,0.659,27.4084,0.0898,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,2,0,2589,Transit,10/28/22;  Long Range 
TRAPPIST-1 d,0.0013,0.4100,0.0699,0.7835,0.0210,,286,M7.5,2566,-3.260,0.1192,0.3628,38.6603,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,2,12,1201,Transit,11/09/22;  11/05/22
TRAPPIST-1 e,0.0020,0.6400,0.0812,0.9102,0.0280,,249,M7.5,2566,-3.260,0.1192,0.4896,50.7957,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,4,12,1331,Transit,06/28/23;  10/28/23;  06/22/23;  06/16/23
TRAPPIST-1 f,0.0021,0.6700,0.0932,1.0447,0.0370,,217,M7.5,2566,-3.260,0.1192,0.6451,66.8981,0.0898,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,5,12,1201,Transit,10/28/22;  07/03/23;  07/22/23;  06/06/23;  06/15/23
TRAPPIST-1 g,0.0042,1.3300,0.1024,1.1479,0.0450,,197,M7.5,2566,-3.260,0.1192,0.7787,81.3236,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,2,0,2589,Transit,07/17/22;  12/12/22
TRAPPIST-1 h,0.0010,0.3200,0.0674,0.7555,0.0630,,171,M7.5,2566,-3.260,0.1192,0.3374,113.6006,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,3,0,1981,Transit,12/11/23;  11/03/23;  07/14/23
V1298 Tau b,2.2000,699.1000,0.8217,9.2109,0.1690,,677,K0-K1.5,5159,0.013,1.3450,0.3938,26.9753,1.1010,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,2149,Transit,01/12/23
V1298 Tau c,,,0.4990,5.5935,0.0830,,,K0-K1.5,5159,0.013,1.3450,0.1452,13.1840,1.1010,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,2149,Transit,01/14/23
WASP-107 b,0.1200,38.1300,1.1458,12.8439,0.0550,,736,K6,4425,-0.879,0.6700,3.086,17.6443,0.6830,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Transit,07/04/23
WASP-107 b,0.1200,38.1300,1.1458,12.8439,0.0550,,736,K6,4425,-0.879,0.6700,3.086,17.6443,0.6830,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1185,Transit,01/14/23
WASP-107 b,0.1200,38.1300,1.1458,12.8439,0.0550,,736,K6,4425,-0.879,0.6700,3.086,17.6443,0.6830,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Transit,01/03/24
WASP-107 b,0.1200,38.1300,1.1458,12.8439,0.0550,,736,K6,4425,-0.879,0.6700,3.086,17.6443,0.6830,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1201,Eclipse,05/28/23
WASP-107 b,0.1200,38.1300,1.1458,12.8439,0.0550,,736,K6,4425,-0.879,0.6700,3.086,17.6443,0.6830,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1224,Transit,06/17/23
WASP-107 b,0.1200,38.1300,1.1458,12.8439,0.0550,,736,K6,4425,-0.879,0.6700,3.086,17.6443,0.6830,MIRI / LRS,-,-,5.0 – 14.0,1,12,1280,Transit,01/20/23
WASP-121 b,0.1800,57.2000,1.7530,19.6503,0.0520,,2720,F6,6776,0.644,1.4580,1.5254,7.6659,1.3580,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Phase Curve,10/21/23
WASP-121 b,0.1800,57.2000,1.7530,19.6503,0.0250,,2720,F6,6776,0.644,1.4580,1.5254,3.7445,1.3580,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1729,Phase Curve,10/14/22
WASP-127 b,0.1800,57.2000,1.3798,15.4669,0.0520,,2720,G5,5828,0.276,1.3330,1.1306,8.3847,0.9500,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Transit,12/03/23
WASP-127 b,0.1800,57.2000,1.3798,15.4669,0.0520,,1400,G5,5828,0.276,1.3330,1.1306,8.3847,0.9500,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,2437,Transit,05/08/23
WASP-166 b,0.1020,32.4100,0.6300,7.0620,0.0670,,1270,F9,6086,0.288,1.2527,0.2669,11.4616,1.1410,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,2062,Transit,11/23/23
WASP-166 b,0.1020,32.4100,0.6300,7.0620,0.0670,,1270,F9,6086,0.288,1.2527,0.2669,11.4616,1.1410,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2062,Transit,11/28/23
WASP-17 b,0.4860,154.4400,1.7400,19.5045,0.0520,,1738,F4,6548,0.613,1.5732,1.2908,7.0362,1.3540,MIRI / LRS,-,-,5.0 – 14.0,1,12,1353,Eclipse,04/06/23
WASP-17 b,0.4860,154.4400,1.7400,19.5045,0.0520,,1738,F4,6548,0.613,1.5732,1.2908,7.0362,1.3540,MIRI / LRS,-,-,5.0 – 14.0,1,12,1353,Transit,03/12/23
WASP-17 b,0.4860,154.4400,1.7400,19.5045,0.0520,,1738,F4,6548,0.613,1.5732,1.2908,7.0362,1.3540,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1353,Eclipse,04/06/23
WASP-17 b,0.4860,154.4400,1.7400,19.5045,0.0520,,1738,F4,6548,0.613,1.5732,1.2908,7.0362,1.3540,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1353,Transit,02/18/23
WASP-17 b,0.4860,154.4400,1.7400,19.5045,0.0520,,1738,F4,6548,0.613,1.5732,1.2908,7.0362,1.3540,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1353,Eclipse,08/29/23
WASP-17 b,0.4860,154.4400,1.7400,19.5045,0.0520,,1738,F4,6548,0.613,1.5732,1.2908,7.0362,1.3540,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1353,Transit,08/23/23
WASP-178 b,1.6600,527.5000,1.8100,20.2892,0.0560,,2470,A1,8640,1.210,1.8010,1.0657,6.6594,1.9300,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,2055,Transit,03/07/23
WASP-18 b,10.2000,3241.2700,1.2400,13.8998,0.0200,,2429,F6,6432,0.428,1.3190,0.9326,3.2982,1.2940,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,0,1366,Eclipse,08/11/22
WASP-19 b,1.1390,361.9400,1.3860,15.5364,0.0170,,2113,G8,5616,-0.043,1.0060,2.0029,3.5540,0.9560,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,1,12,1274,Eclipse,02/18/23
WASP-39 b,0.2800,88.9800,1.2700,14.2361,0.0490,,1166,G8,5326,-0.128,1.0130,1.6585,10.3120,0.9180,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,0,1366,Transit,07/23/22
WASP-39 b,0.2800,88.9800,1.2700,14.2361,0.0490,,1166,G8,5326,-0.128,1.0130,1.6585,10.3120,0.9180,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,0,1366,Transit,07/27/22
WASP-39 b,0.2800,88.9800,1.2700,14.2361,0.0490,,1166,G8,5326,-0.128,1.0130,1.6585,10.3120,0.9180,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,0,1366,Transit,07/31/22
WASP-39 b,0.2800,88.9800,1.2700,14.2361,0.0490,,1166,G8,5326,-0.128,1.0130,1.6585,10.3120,0.9180,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,1,0,1366,Transit,07/10/22
WASP-39 b,0.2800,88.9800,1.2700,14.2361,0.0490,,1166,G8,5326,-0.128,1.0130,1.6585,10.3120,0.9180,MIRI / LRS,-,-,5.0 – 14.0,1,0,2783,Transit,02/14/23
WASP-43 b,2.0520,652.0700,0.9300,10.4248,0.0150,,1426,K7,4124,-0.825,0.7576,1.59,4.3294,0.6500,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1224,Phase Curve,05/14/23
WASP-43 b,2.0520,652.0700,0.9300,10.4248,0.0150,,1426,K7,4124,-0.825,0.7576,1.59,4.3294,0.6500,MIRI / LRS,-,-,5.0 – 14.0,1,0,1366,Phase Curve,12/02/22
WASP-52 b,0.4600,146.1700,1.2700,14.2361,0.0270,,1315,K2,5087,-0.354,0.8568,2.3183,6.8235,0.8530,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Transit,11/27/22
WASP-52 b,0.4600,146.1700,1.2700,14.2361,0.0270,,1315,K2,5087,-0.354,0.8568,2.3183,6.8235,0.8530,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,1,12,1224,Eclipse,06/10/23
WASP-63 b,0.3700,117.5800,1.4100,15.8054,0.0540,,1469,G8,5715,0.490,1.7922,0.6531,6.4966,1.0200,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,2113,Transit,09/28/23
WASP-69 b,0.2600,82.6200,1.1100,12.4426,0.0450,,963,K5,4746,-0.453,0.8775,1.6884,11.0838,0.7600,MIRI / LRS,-,-,5.0 – 14.0,1,12,1177,Eclipse,05/02/23
WASP-69 b,0.2600,82.6200,1.1100,12.4426,0.0450,,963,K5,4746,-0.453,0.8775,1.6884,11.0838,0.7600,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Eclipse,09/30/23
WASP-69 b,0.2600,82.6200,1.1100,12.4426,0.0450,,963,K5,4746,-0.453,0.8775,1.6884,11.0838,0.7600,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1185,Eclipse,10/25/22
WASP-77 A b,1.7600,559.2800,1.1679,13.0916,0.0240,,1715,G8,5617,-0.129,0.9100,1.738,5.6687,0.9030,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1274,Eclipse,08/24/22
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K7,3965,-1.045,0.6466,2.4538,11.5021,0.6170,MIRI / LRS,-,-,5.0 – 14.0,1,12,1177,Transit,09/24/22
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K7,3965,-1.045,0.6466,2.4538,11.5021,0.6170,MIRI / LRS,-,-,5.0 – 14.0,1,12,1177,Eclipse,09/25/22
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K8,3965,-1.045,0.6466,2.4538,11.5021,0.6170,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Transit,09/14/23
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K8,3965,-1.045,0.6466,2.4538,11.5021,0.6170,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Eclipse,05/16/23
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K8,3965,-1.045,0.6466,2.4538,11.5021,0.6170,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1185,Transit,10/30/22
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K8,3965,-1.045,0.6466,2.4538,11.5021,0.6170,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1185,Eclipse,10/29/22
WASP-80 b,0.5540,176.0500,0.9860,11.0526,0.0350,,825,K9,3965,-1.045,0.6466,2.4538,11.5021,0.6170,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Eclipse,10/26/23
WASP-96 b,0.4800,152.5300,1.2000,13.4514,0.0450,,1285,G8,5560,0.031,1.1166,1.2188,8.7204,0.9800,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,0,2734,Transit,06/21/22
WD 1856+534 b,,,0.9280,10.4024,0.0200,,163,WD,,,,,,,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,4,12,2358,Transit,08/29/22; 08/31/22;  09/04/22;  04/27/23
WD 1856+534 b,,,0.9280,10.4024,0.0200,,163,WD,,,,,,,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2507,Eclipse,06/17/23
